-214039.97855332267, -inf
-14228.190595263579, -214039.97855332267
-13036.663186345213, -14228.190595263579
-12461.793128340829, -13036.663186345213
-12110.21315068789, -12461.793128340829
-11968.499856619426, -12110.21315068789
-11799.867445055976, -11968.499856619426
-11531.042592710499, -11799.867445055976
-11134.110980007134, -11531.042592710499
-10269.562825743753, -11134.110980007134
-9731.565118700637, -10269.562825743753
-8747.165298570246, -9731.565118700637
-8740.18505087472, -8747.165298570246
-8732.217116643977, -8740.18505087472
-8722.064066977415, -8732.217116643977
-8706.29140260945, -8722.064066977415
-8672.48733801927, -8706.29140260945
-8560.1603232515, -8672.48733801927
-8117.175103000973, -8560.1603232515
-7921.936073897873, -8117.175103000973
-7921.936073897872, -7921.936073897873
